134;3579990;5399990;NULL;NULL;HP;NULL;NULL;Victus;Intel Core i7;8GB;1TB SSD
135;1019990;1299990;NULL;NULL;Lenovo;Core i3;NULL;IdeaPad;Intel Core i3;NULL;NULL
136;1539990;2000000;NULL;NULL;ASUS;NULL;16GB -512GB SSD;ExpertBook;Intel Core i5;16GB;512GB SSD
137;3569990;4000000;NULL;NULL;ASUS;NULL;NULL;TUF Gaming;Intel Core i7;8GB;1TB SSD
138;2299990;3500000;NULL;NULL;Lenovo;NULL;8GB-512GB SSD;ThinkBook;NULL;8GB;512GB SSD
139;2549990;3000000;NULL;NULL;Lenovo;Core i7;NULL;ThinkPad;Intel Core i7;16GB;512GB SSD
140;2439990;2900000;NULL;NULL;Lenovo;Core i5;NULL;ThinkPad;Intel Core i5;8GB;512GB SSD
141;1979990;2500000;NULL;NULL;HP;Ultra 5;NULL;ProBook;Intel Core Ultra 5;16GB;512GB SSD
142;1449990;1900000;NULL;NULL;HP;NULL;8GB-512GB SSD;Other;Intel Core i5;8GB;512GB SSD
143;1729990;2400000;NULL;NULL;Dell;NULL;NULL;Vostro;NULL;16GB;512GB SSD
144;2129990;2300000;NULL;NULL;Lenovo;Ultra 5;16GB-512GB SSD;ThinkBook;Intel Core Ultra 5;16GB;512GB SSD
145;1989990;2500000;NULL;NULL;Lenovo;NULL;NULL;IdeaPad;Intel Core i7;NULL;NULL
146;1819990;2000000;NULL;NULL;Lenovo;NULL;NULL;ThinkBook;Intel Core i7;NULL;NULL
147;1869990;2500000;NULL;NULL;HP;Core i7;NULL;ProBook;Intel Core i7;NULL;NULL
148;2219990;2800000;NULL;NULL;HP;Core i7;NULL;ProBook;Intel Core i7;NULL;NULL
149;1439990;2000000;NULL;NULL;Dell;Core i5;NULL;Inspiron;Intel Core i5;NULL;NULL
150;2619990;2750000;NULL;NULL;LENOVO;Core i5;NULL;LOQ;Intel Core i5;NULL;NULL
151;3529990;4000000;NULL;NULL;Apple;M3;NULL;MacBook;Apple M3;NULL;NULL
152;4225000;4429990;NULL;NULL;Infinix;Core i9;NULL;Other;Intel Core i9;NULL;1TB SSD
153;2359990;2649990;NULL;NULL;Dell;NULL;NULL;Inspiron;NULL;16GB;1TB SSD
154;1959990;1999990;NULL;NULL;Lenovo;Ultra 5;512GB SSD;ThinkBook;Intel Core Ultra 5;8GB;512GB SSD
155;2359990;2399990;NULL;NULL;Lenovo;Ultra 7;8GB-512GB SSD;ThinkBook;Intel Core Ultra 7;8GB;512GB SSD
156;1999990;NULL;NULL;NULL;Lenovo;Ultra 5;8GB-512GB SSD;ThinkBook;Intel Core Ultra 5;8GB;512GB SSD
157;2429990;2500000;NULL;NULL;Lenovo;Ultra 5;8GB-512GB SSD;ThinkPad;Intel Core Ultra 5;8GB;512GB SSD
158;3129990;3250000;NULL;NULL;Acer;Core i9;16GB-512GB SSD;V Series;Intel Core i9;16GB;512GB SSD
159;4949990;6000000;NULL;NULL;Apple;M3;8GB-512GB SSD;MacBook;Apple M3;8GB;512GB SSD
160;999990;1149990;5;2;Lenovo;Ryzen 3;8GB-256GB SSD;IdeaPad;AMD Ryzen 3;8GB;256GB SSD
161;2099990;2299990;NULL;NULL;Lenovo;Core i7;16GB-512GB SSD;IdeaPad;Intel Core i7;16GB;512GB SSD
162;1519990;1799990;NULL;NULL;ASUS;Core i5;8GB-512GB SSD;ExpertBook;Intel Core i5;8GB;512GB SSD
163;3969990;4499990;NULL;NULL;Lenovo;Ultra 7;NULL;Yoga;Intel Core Ultra 7;16GB;1TB SSD
164;14519990;14999000;NULL;NULL;Lenovo;Ultra 9;NULL;Legion;NULL;16GB;2TB SSD
165;15529990;15999000;NULL;NULL;Lenovo;Ultra 9;NULL;Legion;NULL;64GB;2TB SSD
166;2479990;2850000;NULL;NULL;HP;Ryzen 7;16GB-512GB SSD;Victus;AMD Ryzen 7;16GB;512GB SSD
167;3279990;3750000;NULL;NULL;HP;NULL;NULL;Victus;Intel Core i7;8GB;1TB SSD
168;1479990;2000000;NULL;NULL;Dell;NULL;8GB-512GB SSD;Other;Intel Core i5;8GB;512GB SSD
169;2869990;2999990;NULL;NULL;Apple;M4;NULL;MacBook;NULL;NULL;NULL
