Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
4949990.0,6000000.0,,,Apple,M3,512GB,MacBook,Apple M3,8GB,512GB SSD
999990.0,1149990.0,5.0,2.0,Lenovo,Ryzen 3,256GB,IdeaPad,AMD Ryzen 3,8GB,256GB SSD
2099990.0,2299990.0,,,Lenovo,Core i7,512GB,IdeaPad,Intel Core i7,16GB,512GB SSD
1519990.0,1799990.0,,,Asus,Core i5,512GB,ExpertBook,Intel Core i5,8GB,512GB SSD
3969990.0,4499990.0,,,Lenovo,Ultra 7,,Yoga,Intel Core Ultra 7,16GB,1TB SSD
14519990.0,14999000.0,,,Lenovo,Ultra 9,,Legion,,16GB,2TB SSD
15529990.0,15999000.0,,,Lenovo,Ultra 9,,Legion,,64GB,2TB SSD
2479990.0,2850000.0,,,HP,Ryzen 7,512GB,Victus,AMD Ryzen 7,16GB,512GB SSD
3279990.0,3750000.0,,,HP,,,Victus,Intel Core i7,8GB,1TB SSD
1479990.0,2000000.0,,,Dell,,512GB,Other,Intel Core i5,8GB,512GB SSD
2869990.0,2999990.0,,,Apple,M4,,MacBook,,,
2269990.0,2550000.0,,,Lenovo,Ryzen 5,512GB,LOQ,AMD Ryzen 5,,512GB SSD
1254990.0,1499990.0,,,Lenovo,Core i3,256GB,V Series,Intel Core i3,4GB,256GB SSD
2299990.0,2600000.0,,,Lenovo,Core i5,,ThinkPad,Intel Core i5,8GB,512GB SSD
1819990.0,2499990.0,,,Lenovo,Core i7,,V Series,Intel Core i7,8GB,512GB SSD
1799990.0,1999990.0,,,Lenovo,Core i5,,V Series,Intel Core i5,4GB,256GB SSD
2209990.0,2600000.0,,,HP,Core i7,,ProBook,Intel Core i7,8GB,512GB SSD
5449990.0,6000000.0,5.0,3.0,Apple,M3,,MacBook,Apple M3,,512GB SSD
4949990.0,5150000.0,,,Apple,,,MacBook,,8GB,1TB SSD
4529990.0,5000000.0,,,Apple,,,MacBook,,8GB,512GB SSD
1879990.0,2099990.0,5.0,1.0,HP,Core i7,,Other,Intel Core i7,8GB,512GB SSD
2619990.0,3300000.0,,,HP,Core i7,,Other,Intel Core i7,16GB,1TB SSD
1109990.0,2000000.0,,,Lenovo,Core i3,,V Series,Intel Core i3,,
1660000.0,2000000.0,,,Lenovo,,,Inbook,Intel Core i5,8GB,256GB SSD
1849990.0,2500000.0,,,Lenovo,Core i7,,V Series,Intel Core i7,8GB,512GB SSD
1074990.0,1200000.0,5.0,1.0,HP,Core i3,,Other,Intel Core i3,,
2349990.0,3000000.0,,,HP,,,Victus,Intel Core i5,16GB,512GB SSD
2299990.0,3000000.0,,,HP,Ultra 7,,ProBook,Intel Core Ultra 7,,
1949990.0,2800000.0,,,HP,Ultra 5,,ProBook,Intel Core Ultra 5,8GB,512GB SSD
2939990.0,3700000.0,,,HP,Ultra 7,,Other,Intel Core Ultra 7,8GB,512GB SSD
3029990.0,3700000.0,,,HP,Ultra 7,,Other,Intel Core Ultra 7,8GB,512GB SSD
4699990.0,4950000.0,,,Lenovo,,,Legion,Intel Core i7,16GB,1TB SSD
1749990.0,2000000.0,,,HP,Core i7,,Other,Intel Core i7,,
1779990.0,2000000.0,,,HP,,512GB,Other,Intel Core i7,8GB,512GB SSD
2429990.0,3000000.0,,,HP,,,Other,Intel Core i5,,
1819990.0,2300000.0,,,Asus,,512GB,ExpertBook,Intel Core i7,16GB,512GB SSD
2529990.0,2750000.0,,,HP,Ultra 5,,Other,Intel Core Ultra 5,,
4129990.0,4500000.0,,,Apple,M3,,MacBook,Apple M3,,
2479990.0,2750000.0,,,Acer,,,V Series,Intel Core i5,16GB,512GB SSD
3549990.0,,,,Acer,Core i9,512GB,V Series,Intel Core i9,8GB,512GB SSD
3499990.0,4159990.0,,,Acer,Core i7,512GB,Nitro,Intel Core i7,16GB,512GB SSD
3449990.0,3700000.0,,,Dell,,512GB,Latitude,Intel Core i7,8GB,512GB SSD
2839990.0,2999990.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,16GB,512GB SSD
4009990.0,4200000.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,16GB,512GB SSD
4309990.0,4500000.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,32GB,512GB SSD
1679990.0,2200000.0,,,HP,,,OmniBook,,8GB,512GB SSD
2669990.0,2850000.0,,,Lenovo,Core i5,,LOQ,Intel Core i5,,512GB SSD
4509990.0,4600000.0,,,Apple,M4,,MacBook,,,
1849990.0,2199990.0,,,Dell,Core i5,512GB,Latitude,Intel Core i5,8GB,512GB SSD
2619990.0,3100000.0,,,Lenovo,,,LOQ,Intel Core i5,,
4169990.0,4500000.0,,,HP,Ultra 7,,OmniBook,Intel Core Ultra 7,16GB,1TB SSD
6599990.0,7260000.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,32GB,512GB SSD
1959990.0,2499000.0,,,HP,,512GB,Victus,Intel Core i5,8GB,512GB SSD
2339990.0,2759990.0,,,HP,,512GB,Victus,Intel Core i5,16GB,512GB SSD
6849990.0,7240000.0,,,Acer,Ultra 9,,Predator,,32GB,1TB SSD
1539990.0,2000000.0,,,Asus,,512GB,ExpertBook,Intel Core i5,16GB,512GB SSD
2899990.0,3500000.0,,,Lenovo,,512GB,ThinkPad,,16GB,512GB SSD
2249990.0,3000000.0,,,Lenovo,Ultra 5,512GB,ThinkPad,Intel Core Ultra 5,8GB,512GB SSD
